Start_Time Number_of_Events Sampled_Luminosity Prescale Livetime
6648831 7857.000 0.0013095 37.72680283 0.892751354605659
6649076 27501 0.0045835 36.99560165 0.924733088162463
6650173 42560 0.00709333333333333 33.68480301 0.840958525923912
6651621 9150 0.001525 29.93280029 0.908784389207845
6651918 66931 0.0111551666666667 29.29480171 0.939789253520749
6653573 13978 0.00232966666666667 25.94560051 0.923077314667515
6653971 15095 0.00251583333333333 25.33720016 0.928759811159465
6657746 35808 0.005968 128.83839417 0.899879255577774
6658729 68365 0.0113941666666667 94.18600464 0.924211669214782
6660555 75485 0.0125808333333333 68.58120728 0.905935222815158
6662551 65916 0.010986 52.09680176 0.929186408196678
6664204 57227 0.00953783333333333 44.77839661 0.931339043548624
6665765 4604 0.000767333333333333 38.87919998 0.878194170714109
6665957 2877 0.0004795 38.42480087 0.851947308132875
6666155 77466 0.012911 37.61480331 0.918211027751383
6668105 75391 0.0125651666666667 32.38600159 0.937161138161198
6670157 45236 0.00753933333333333 27.68680191 0.940390472149099
6674985 70776 0.011796 130.36120605 0.925983005050315
6677809 4164 0.000694 75.07279968 0.680309479423713
6678112 48593 0.00809883333333333 71.61800385 0.90171133336459
6679375 51318 0.008553 61.58280182 0.926769322412859
6680741 57726 0.009621 52.28960419 0.927355411521409
6694980 29664 0.004944 139.59080505 0.914407618105367
6696368 52472 0.00874533333333333 106.44479370 0.89037206086327
6697859 12574 0.00209566666666667 83.88360596 0.928897406688135
6698630 37520 0.00625333333333333 74.85920715 0.942238850882493
6701545 5052 0.000842 54.71720123 0.895734075252066
6704409 23835 0.0039725 41.23600006 0.87432276014494
6705130 4660 0.000776666666666667 38.94599915 0.907184105358316
6705294 77113 0.0128521666666667 38.51880264 0.960931368076679
6707383 4527 0.0007545 33.38480377 0.545268617846296
6707683 27032 0.00450533333333333 32.46960068 0.955397500013605
6713732 12198 0.002033 198.90400696 0.645682283217862
6714352 47974 0.00799566666666667 82.70720673 0.93544896458074
6715489 7107 0.0011845 73.28800201 0.872179293681417
6716039 3785 0.000630833333333333 68.41600037 0.80033683039508
6716337 1797 0.0002995 66.82920074 0.439953247914293
6716734 36595 0.00609916666666667 64.67880249 0.902762771031999
6717728 16341 0.0027235 58.70600128 0.923108301432622
6720315 11883 0.0019805 46.57640076 0.923158240501285
6720626 33616 0.00560266666666667 45.43280411 0.947192545705557
6741448 50438 0.00840633333333333 199.64521790 0.707215260793692
6743360 12564 0.002094 120.14440155 0.915395533233377
6743715 72922 0.0121536666666667 112.83200073 0.920471701099947
6745723 56061 0.0093435 85.80760956 0.703187990478061
6747644 19178 0.00319633333333333 68.16960144 0.932570359491386
6748197 66415 0.0110691666666667 64.30999756 0.945225786050653
6753279 23557 0.00392616666666667 224.95561218 0.929790111546716
6753974 5859 0.0009765 177.56080627 0.867951714402213
6754401 4242 0.000707 156.50360107 0.741096997252373
6755103 68029 0.0113381666666667 135.80999756 0.899728628086287
6757035 3844 0.000640666666666667 99.12799835 0.875891668034955
6757201 3451 0.000575166666666667 97.46679688 0.869575164910874
6757341 0 0 94.76639557 0.249233168510758
6757538 0 0 92.72160339 0.25656365465679
6758579 6514 0.00108566666666667 81.73400116 0.893574772433912
6759193 70814 0.0118023333333333 75.64479828 0.943304154319916
6760987 30312 0.005052 62.10600281 0.714351178226499
6762009 6459 0.0010765 56.11520004 0.707539340918433
6762294 22246 0.00370766666666667 54.47040176 0.646471363004794
6763093 51970 0.00866166666666667 50.93960571 0.944956728716683
6802923 36947 0.00615783333333333 186.48359680 0.899777915197692
6804140 21063 0.0035105 138.02799988 0.949664541343834
6804757 50424 0.008404 122.41761017 0.932676603242561
6806168 25351 0.00422516666666667 99.06560516 0.931080572533448
6806847 32760 0.00546 90.08360291 0.935420676643108
6812205 3417 0.0005695 422.58242798 0.959159888663786
6812947 3481 0.000580166666666667 401.09802246 0.977276640781511
6813766 6479 0.00107983333333333 381.35321045 0.982241439292282
6815112 18078 0.003013 36.00000000 0.878873612238366
6820640 26500 0.00441666666666667 145.73680115 0.930624200260736
6821378 54661 0.00911016666666667 124.97119904 0.94471713600333
6822981 9568 0.00159466666666667 95.96839905 0.913678329417221
6823270 45267 0.0075445 92.51160431 0.940756686614236
6824899 69719 0.0116198333333333 74.49839783 0.943489730417907
6826786 72132 0.012022 60.08079910 0.948327432040301
6828685 72276 0.012046 50.05200195 0.95452861367332
6830543 20997 0.0034995 42.62400055 0.9415336730646
6838679 39346 0.00655766666666667 159.91241455 0.929731187483099
6839995 14485 0.00241416666666667 123.55600739 0.912946885188365
6840658 66109 0.0110181666666667 110.74479675 0.921155969432339
6842526 64408 0.0107346666666667 83.97920990 0.934620702859455
6844354 0 0 67.81320190 0.197746117950249
6844827 68756 0.0114593333333333 64.81800079 0.93269768113576
6846691 72325 0.0120541666666667 52.67560196 0.950865350222412
6848608 0 0 44.30800247 0.357670484335131
6849453 50661 0.0084435 41.28480148 0.953436866735507
6850798 49039 0.00817316666666667 37.34360123 0.953997468706638
6856611 68197 0.0113661666666667 156.22320557 0.930573119888473
6858525 78038 0.0130063333333333 108.28120422 0.920871464519837
6860727 29370 0.004895 76.38999939 0.930771630857268
6861496 37592 0.00626533333333333 69.39960480 0.937957087482872
6862464 8997 0.0014995 62.06880188 0.91075689932748
6862766 69454 0.0115756666666667 60.19079971 0.924070068558784
6864594 47437 0.00790616666666667 50.07720184 0.94756631854765
6865784 69716 0.0116193333333333 45.00239563 0.951516248903577
6867651 39295 0.00654916666666667 38.63600159 0.938010385668667
6868652 52524 0.008754 36.03880310 0.955591260646095
6896258 43869 0.0073115 214.70201111 0.891677471303217
6897599 5228 0.000871333333333333 151.88879395 0.748247735647638
6898537 27715 0.00461916666666667 129.58880615 0.911964618048564
6899335 15807 0.0026345 112.73400116 0.899396013730998
6899835 6445 0.00107416666666667 104.78160095 0.806136970339489
6900241 3985 0.000664166666666667 98.94080353 0.650659994652707
6900488 34240 0.00570666666666667 95.91720581 0.914820788380702
6901421 47228 0.00787133333333333 86.37039948 0.90845800529757
6902851 29253 0.0048755 72.90760040 0.889831367687868
6903660 62653 0.0104421666666667 66.52719879 0.940970478014459
6905301 4961 0.000826833333333333 57.14640045 0.799065157244045
